file F0semitoneFrom27.5Hz_sma3nz_amean F0semitoneFrom27.5Hz_sma3nz_stddevNorm F0semitoneFrom27.5Hz_sma3nz_percentile20.0 F0semitoneFrom27.5Hz_sma3nz_percentile50.0 F0semitoneFrom27.5Hz_sma3nz_percentile80.0 F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope loudness_sma3_amean loudness_sma3_stddevNorm loudness_sma3_percentile20.0 loudness_sma3_percentile50.0 loudness_sma3_percentile80.0 loudness_sma3_pctlrange0-2 loudness_sma3_meanRisingSlope loudness_sma3_stddevRisingSlope loudness_sma3_meanFallingSlope loudness_sma3_stddevFallingSlope spectralFlux_sma3_amean spectralFlux_sma3_stddevNorm mfcc1_sma3_amean mfcc1_sma3_stddevNorm mfcc2_sma3_amean mfcc2_sma3_stddevNorm mfcc3_sma3_amean mfcc3_sma3_stddevNorm mfcc4_sma3_amean mfcc4_sma3_stddevNorm jitterLocal_sma3nz_amean jitterLocal_sma3nz_stddevNorm shimmerLocaldB_sma3nz_amean shimmerLocaldB_sma3nz_stddevNorm HNRdBACF_sma3nz_amean HNRdBACF_sma3nz_stddevNorm logRelF0-H1-H2_sma3nz_amean logRelF0-H1-H2_sma3nz_stddevNorm logRelF0-H1-A3_sma3nz_amean logRelF0-H1-A3_sma3nz_stddevNorm F1frequency_sma3nz_amean F1frequency_sma3nz_stddevNorm F1bandwidth_sma3nz_amean F1bandwidth_sma3nz_stddevNorm F1amplitudeLogRelF0_sma3nz_amean F1amplitudeLogRelF0_sma3nz_stddevNorm F2frequency_sma3nz_amean F2frequency_sma3nz_stddevNorm F2bandwidth_sma3nz_amean F2bandwidth_sma3nz_stddevNorm F2amplitudeLogRelF0_sma3nz_amean F2amplitudeLogRelF0_sma3nz_stddevNorm F3frequency_sma3nz_amean F3frequency_sma3nz_stddevNorm F3bandwidth_sma3nz_amean F3bandwidth_sma3nz_stddevNorm F3amplitudeLogRelF0_sma3nz_amean F3amplitudeLogRelF0_sma3nz_stddevNorm alphaRatioV_sma3nz_amean alphaRatioV_sma3nz_stddevNorm hammarbergIndexV_sma3nz_amean hammarbergIndexV_sma3nz_stddevNorm slopeV0-500_sma3nz_amean slopeV0-500_sma3nz_stddevNorm slopeV500-1500_sma3nz_amean slopeV500-1500_sma3nz_stddevNorm spectralFluxV_sma3nz_amean spectralFluxV_sma3nz_stddevNorm mfcc1V_sma3nz_amean mfcc1V_sma3nz_stddevNorm mfcc2V_sma3nz_amean mfcc2V_sma3nz_stddevNorm mfcc3V_sma3nz_amean mfcc3V_sma3nz_stddevNorm mfcc4V_sma3nz_amean mfcc4V_sma3nz_stddevNorm alphaRatioUV_sma3nz_amean hammarbergIndexUV_sma3nz_amean slopeUV0-500_sma3nz_amean slopeUV500-1500_sma3nz_amean spectralFluxUV_sma3nz_amean loudnessPeaksPerSec VoicedSegmentsPerSec MeanVoicedSegmentLengthSec StddevVoicedSegmentLengthSec MeanUnvoicedSegmentLength StddevUnvoicedSegmentLength equivalentSoundLevel_dBp
01_CF56_1 2.628134e+01 1.620929e-01 2.441343e+01 2.660126e+01 2.898056e+01 4.567131e+00 2.070365e+02 2.639113e+02 8.963287e+01 1.347523e+02 5.013385e-01 6.430686e-01 2.316640e-01 4.123679e-01 7.102861e-01 4.786221e-01 7.521085e+00 5.310550e+00 5.202628e+00 4.560523e+00 2.947332e-01 1.383807e+00 1.918643e+01 6.833963e-01 1.256952e+01 8.015902e-01 3.107487e+00 3.233708e+00 5.925511e-01 1.772559e+01 4.990404e-02 2.024279e+00 1.181522e+00 8.471335e-01 4.298282e+00 9.268965e-01 1.556647e+00 4.957947e+00 2.563151e+01 3.214028e-01 4.993358e+02 2.456194e-01 1.319376e+03 1.512218e-01 -8.827537e+01 -1.063013e+00 1.512297e+03 1.680192e-01 1.154044e+03 3.630442e-01 -9.686018e+01 -8.868371e-01 2.550364e+03 1.013709e-01 9.740229e+02 4.512590e-01 -1.008664e+02 -8.170346e-01 -1.835796e+01 -3.057408e-01 2.799611e+01 2.332651e-01 -1.111454e-02 -3.301969e+00 -3.189610e-02 -4.202248e-01 3.773606e-01 1.096998e+00 2.812889e+01 3.020885e-01 1.579449e+01 6.411740e-01 3.186546e+00 3.743104e+00 -3.552837e+00 -3.079719e+00 -1.313600e+01 2.337329e+01 -5.534092e-02 -8.010100e-03 1.779802e-01 2.374252e+00 1.730139e+00 3.281953e-01 3.348876e-01 2.443533e-01 3.948652e-01 -3.136320e+01
01_PM58_2 2.528506e+01 2.063890e-01 2.182309e+01 2.459127e+01 2.849583e+01 6.672735e+00 2.356651e+02 3.563576e+02 1.177025e+02 1.571770e+02 5.426176e-01 7.649440e-01 1.681493e-01 4.534642e-01 8.281149e-01 6.599656e-01 8.705727e+00 5.394800e+00 5.194085e+00 3.698604e+00 3.073824e-01 9.612834e-01 2.776049e+01 3.407387e-01 4.317558e+00 2.749534e+00 2.700256e-01 5.363416e+01 -8.000543e+00 -2.286689e+00 5.762734e-02 1.704667e+00 1.432101e+00 7.145188e-01 2.122571e+00 1.939924e+00 1.287047e+00 8.970446e+00 2.180038e+01 5.456188e-01 4.453722e+02 3.561738e-01 1.199423e+03 1.737684e-01 -4.907287e+01 -1.729821e+00 1.441453e+03 1.692352e-01 8.876879e+02 3.141722e-01 -5.394688e+01 -1.481959e+00 2.519060e+03 1.024095e-01 8.111332e+02 4.214365e-01 -6.192639e+01 -1.216551e+00 -1.417294e+01 -4.472191e-01 2.637997e+01 2.621635e-01 7.959114e-03 5.188175e+00 -2.079426e-02 -6.025721e-01 3.664813e-01 8.382989e-01 3.059635e+01 2.571954e-01 3.239667e+00 3.961779e+00 5.388859e-01 2.897550e+01 -1.136962e+01 -1.665817e+00 -1.773556e+01 3.141112e+01 -4.189683e-02 -8.774085e-03 1.175698e-01 2.230001e+00 1.624705e+00 4.600968e-01 5.658554e-01 1.593314e-01 2.546985e-01 -3.181171e+01
02_CM57_2 1.834883e+01 2.285684e-01 1.585009e+01 1.760683e+01 2.021816e+01 4.368069e+00 2.117285e+02 5.783426e+02 4.784921e+01 8.168742e+01 5.615538e-01 6.987848e-01 2.591475e-01 4.703190e-01 7.727052e-01 5.135577e-01 8.935225e+00 8.546469e+00 7.015527e+00 7.726869e+00 4.046914e-01 8.058000e-01 1.906892e+01 6.902922e-01 1.450478e+01 7.137942e-01 1.469799e+01 1.000320e+00 7.772958e+00 1.451514e+00 3.158955e-02 1.240520e+00 1.066535e+00 9.283187e-01 1.582674e+00 2.127778e+00 3.484873e+00 4.644787e+00 2.163594e+01 7.795134e-01 4.922492e+02 4.331488e-01 1.197672e+03 1.955346e-01 -6.293676e+01 -1.287948e+00 1.520611e+03 1.791520e-01 9.093556e+02 3.655466e-01 -7.250398e+01 -1.033481e+00 2.514151e+03 1.161326e-01 7.782767e+02 3.633294e-01 -7.414755e+01 -9.922884e-01 -1.845358e+01 -4.393313e-01 2.681845e+01 3.508066e-01 -3.960122e-02 -9.822529e-01 -1.732508e-02 -7.247314e-01 4.780620e-01 6.764508e-01 2.422874e+01 4.158342e-01 1.572147e+01 7.043337e-01 1.677774e+01 9.482043e-01 8.005222e+00 1.566650e+00 -1.129940e+01 2.134575e+01 -6.020798e-02 -3.997662e-03 2.022582e-01 1.151239e+00 1.730286e+00 4.147973e-01 4.883327e-01 1.592803e-01 2.687101e-01 -2.965850e+01
02_PM65_2 2.115224e+01 1.172134e-01 1.941116e+01 2.107110e+01 2.281310e+01 3.401947e+00 1.968206e+02 2.717182e+02 6.184419e+01 1.502111e+02 6.273863e-01 5.841199e-01 2.446452e-01 5.944076e-01 9.004332e-01 6.557879e-01 8.642698e+00 6.014516e+00 5.150300e+00 3.993300e+00 4.369427e-01 6.857061e-01 2.668616e+01 4.846831e-01 1.167477e+01 7.647874e-01 -1.193170e+00 -9.856243e+00 9.779403e+00 1.249171e+00 3.409214e-02 1.582831e+00 1.227183e+00 7.963881e-01 2.148082e+00 1.501033e+00 1.656606e+00 6.636733e+00 2.206725e+01 5.244806e-01 4.843835e+02 3.355877e-01 1.316043e+03 1.526103e-01 -6.052489e+01 -1.360671e+00 1.444879e+03 1.709427e-01 1.065408e+03 2.363626e-01 -6.742781e+01 -1.159188e+00 2.476158e+03 1.295952e-01 1.021998e+03 3.307760e-01 -7.582963e+01 -9.638128e-01 -1.593516e+01 -4.151468e-01 3.017377e+01 2.411228e-01 -3.243114e-02 -9.312862e-01 -2.089014e-02 -6.980074e-01 5.055107e-01 5.898124e-01 3.243171e+01 2.803844e-01 1.122604e+01 8.665793e-01 -3.426124e+00 -3.584123e+00 9.359357e+00 1.427016e+00 -1.705496e+01 2.918053e+01 -6.716025e-02 -4.848264e-03 2.478055e-01 1.947231e+00 1.468183e+00 4.903038e-01 5.780439e-01 1.968235e-01 2.763683e-01 -2.958063e+01
03_CF30_3 3.435112e+01 8.241154e-02 3.302181e+01 3.407341e+01 3.550793e+01 2.486118e+00 1.829870e+02 3.942632e+02 3.620350e+01 4.922573e+01 6.654660e-01 6.437986e-01 2.827743e-01 5.680656e-01 9.654807e-01 6.827065e-01 8.633893e+00 5.519449e+00 6.550273e+00 4.810736e+00 2.920059e-01 8.582824e-01 1.576655e+01 7.745609e-01 7.937758e+00 1.466202e+00 -2.126038e+00 -6.355056e+00 -7.398106e+00 -1.827852e+00 1.564942e-02 2.401260e+00 8.492159e-01 7.795614e-01 8.425782e+00 4.039074e-01 1.733974e+00 4.847224e+00 1.939564e+01 4.192540e-01 5.151859e+02 2.883771e-01 1.245969e+03 1.795469e-01 -6.369063e+01 -1.395825e+00 1.542436e+03 1.681398e-01 1.035277e+03 4.595816e-01 -6.745087e+01 -1.229461e+00 2.597511e+03 1.004249e-01 9.195964e+02 6.260466e-01 -7.261533e+01 -1.091758e+00 -1.253495e+01 -4.389490e-01 2.344687e+01 2.945845e-01 -3.941983e-03 -9.026040e+00 -2.053106e-02 -6.766617e-01 3.452698e-01 7.751049e-01 2.170832e+01 3.747071e-01 6.092708e+00 2.053301e+00 -4.078769e+00 -3.611745e+00 -1.235394e+01 -9.972665e-01 -1.175077e+01 2.178493e+01 -5.833471e-02 -4.223881e-03 1.608253e-01 2.700354e+00 1.602186e+00 4.342248e-01 3.915795e-01 1.841772e-01 3.119394e-01 -3.124119e+01
03_PF66_3 2.765463e+01 1.230073e-01 2.584614e+01 2.724364e+01 2.952771e+01 3.681568e+00 1.909798e+02 2.677381e+02 8.374112e+01 2.046823e+02 5.866212e-01 4.748902e-01 3.621974e-01 5.188991e-01 7.810363e-01 4.188389e-01 7.320221e+00 4.597730e+00 3.794790e+00 2.610597e+00 3.678334e-01 6.443618e-01 2.631189e+01 3.491373e-01 9.731237e+00 9.367073e-01 -6.522007e+00 -1.911329e+00 -7.651415e+00 -1.337240e+00 3.487064e-02 1.928550e+00 1.330580e+00 5.981569e-01 3.436100e+00 9.955949e-01 -6.574032e-01 -1.234375e+01 2.349728e+01 3.605635e-01 4.876379e+02 2.068185e-01 1.271503e+03 1.544912e-01 -4.210616e+01 -1.863855e+00 1.455624e+03 1.388458e-01 1.161856e+03 3.029904e-01 -5.321605e+01 -1.363782e+00 2.557932e+03 9.491332e-02 9.962141e+02 4.334579e-01 -6.149339e+01 -1.109491e+00 -1.688483e+01 -3.039646e-01 3.007470e+01 1.970817e-01 -9.027689e-03 -3.384281e+00 -2.988871e-02 -4.246310e-01 4.070261e-01 5.916079e-01 2.935947e+01 2.391963e-01 1.058955e+01 8.582028e-01 -7.338003e+00 -1.803287e+00 -9.711957e+00 -9.946011e-01 -1.404734e+01 2.692571e+01 -4.305652e-02 -1.270965e-02 2.196453e-01 2.652755e+00 1.781307e+00 4.352259e-01 4.592002e-01 1.276243e-01 2.187055e-01 -3.212350e+01
04_CF57_3 3.200041e+01 1.242417e-01 2.968613e+01 3.143737e+01 3.421447e+01 4.528345e+00 1.922282e+02 3.985195e+02 8.296381e+01 2.197996e+02 8.320712e-01 7.241969e-01 2.993217e-01 6.954511e-01 1.273790e+00 9.744679e-01 1.269119e+01 8.567100e+00 9.207523e+00 6.549205e+00 3.759657e-01 1.254574e+00 2.308994e+01 6.403115e-01 2.923392e+00 4.844779e+00 -2.270971e+00 -6.731129e+00 -8.645500e+00 -1.812356e+00 1.971516e-02 2.670685e+00 9.603333e-01 9.026969e-01 7.280052e+00 5.683182e-01 -5.490281e-01 -1.636076e+01 1.641681e+01 6.784536e-01 4.629281e+02 3.082022e-01 1.224826e+03 1.874107e-01 -4.409465e+01 -1.811129e+00 1.465948e+03 1.680592e-01 9.343094e+02 3.579415e-01 -4.924004e+01 -1.480269e+00 2.428760e+03 1.103834e-01 8.055101e+02 4.105189e-01 -5.187897e+01 -1.375375e+00 -1.247380e+01 -5.221983e-01 2.039910e+01 4.306849e-01 3.390301e-02 1.117537e+00 -3.061216e-02 -4.951559e-01 4.241990e-01 1.060079e+00 2.781744e+01 3.986644e-01 1.993610e+00 7.269783e+00 -3.307961e+00 -4.863985e+00 -1.228108e+01 -1.191838e+00 -7.901377e+00 1.621750e+01 -3.581125e-02 -7.700428e-03 1.799085e-01 2.771665e+00 1.465768e+00 5.386262e-01 5.201415e-01 1.398175e-01 1.937650e-01 -2.719568e+01
04_PF50_2 3.474866e+01 1.576438e-01 3.115128e+01 3.556850e+01 3.887497e+01 7.723690e+00 1.931291e+02 2.506351e+02 9.661400e+01 2.340180e+02 3.931992e-01 7.090971e-01 1.228540e-01 3.548509e-01 5.964268e-01 4.735728e-01 6.598285e+00 4.029720e+00 3.885659e+00 2.777523e+00 2.133976e-01 8.985904e-01 2.819249e+01 4.455908e-01 -1.623483e-01 -9.001569e+01 -8.047271e+00 -1.824494e+00 -4.551905e+00 -2.354853e+00 4.654144e-02 1.827190e+00 1.286088e+00 6.206180e-01 5.134379e+00 9.357274e-01 3.164769e+00 3.517340e+00 2.351548e+01 4.706728e-01 5.500463e+02 2.773134e-01 1.345053e+03 1.782894e-01 -6.323404e+01 -1.454502e+00 1.521416e+03 1.403029e-01 1.126530e+03 2.783461e-01 -6.389645e+01 -1.302185e+00 2.538426e+03 8.053705e-02 9.313619e+02 3.801847e-01 -7.062800e+01 -1.116504e+00 -1.415769e+01 -4.818536e-01 2.695867e+01 2.823994e-01 1.636707e-02 2.138412e+00 -2.376781e-02 -5.561866e-01 2.685754e-01 7.180631e-01 3.321700e+01 3.023016e-01 -3.508277e+00 -4.341040e+00 -1.112613e+01 -1.329875e+00 -7.347629e+00 -1.391299e+00 -1.734811e+01 2.986692e+01 -4.064670e-02 -1.084650e-02 7.179778e-02 2.822154e+00 1.505872e+00 4.687156e-01 6.215073e-01 2.246800e-01 3.715168e-01 -3.592704e+01
05_CF41_3 3.290088e+01 1.237826e-01 3.091283e+01 3.261797e+01 3.521650e+01 4.303665e+00 2.156444e+02 4.041238e+02 8.316288e+01 1.942729e+02 7.315661e-01 6.479792e-01 2.789043e-01 6.525294e-01 1.119289e+00 8.403847e-01 1.102736e+01 5.815436e+00 8.669747e+00 5.275757e+00 4.647256e-01 1.005684e+00 2.554907e+01 5.627849e-01 1.095798e+01 1.240163e+00 -3.592709e+00 -4.285872e+00 -1.594242e+01 -1.147894e+00 2.550355e-02 2.163803e+00 1.197540e+00 8.194366e-01 7.263022e+00 5.892386e-01 2.062998e+00 4.889545e+00 2.930950e+01 4.090037e-01 5.416414e+02 3.025974e-01 1.315520e+03 1.711114e-01 -4.944209e+01 -1.689463e+00 1.560624e+03 2.048251e-01 1.045379e+03 3.890974e-01 -5.774635e+01 -1.295850e+00 2.657886e+03 1.238203e-01 9.174814e+02 4.773769e-01 -6.553498e+01 -1.073654e+00 -1.795003e+01 -3.748191e-01 3.005256e+01 2.527441e-01 1.999882e-02 1.957744e+00 -3.468103e-02 -4.473430e-01 5.336775e-01 7.923717e-01 3.081520e+01 3.359230e-01 1.044449e+01 1.354784e+00 -5.159453e+00 -3.158621e+00 -2.159541e+01 -7.471055e-01 -1.385828e+01 2.405796e+01 -5.164235e-02 -9.355454e-03 2.276966e-01 3.888591e+00 1.650236e+00 4.602273e-01 4.283154e-01 1.445283e-01 2.032747e-01 -2.738008e+01
05_PM53_4 1.935422e+01 2.045369e-01 1.621607e+01 1.856394e+01 2.222446e+01 6.008390e+00 1.984733e+02 2.886474e+02 4.514590e+01 5.436001e+01 2.752194e-01 6.719677e-01 1.335498e-01 2.245416e-01 3.863849e-01 2.528352e-01 4.043839e+00 2.624757e+00 3.070132e+00 2.176698e+00 1.406395e-01 8.355622e-01 2.843311e+01 4.032851e-01 1.130469e+01 1.076495e+00 5.149504e+00 2.584384e+00 -9.429292e-01 -1.466028e+01 4.020176e-02 1.471255e+00 1.281538e+00 7.828015e-01 1.972101e+00 1.578388e+00 5.961570e+00 2.262270e+00 2.897681e+01 4.166709e-01 4.520649e+02 3.590008e-01 1.222918e+03 1.575235e-01 -4.568635e+01 -1.631549e+00 1.411746e+03 1.759842e-01 9.450544e+02 2.721834e-01 -5.529137e+01 -1.262508e+00 2.550664e+03 1.078744e-01 8.575264e+02 4.353715e-01 -6.525633e+01 -9.911022e-01 -1.818919e+01 -4.190159e-01 3.142975e+01 2.417398e-01 -1.644797e-02 -2.533859e+00 -1.482335e-02 -9.319842e-01 1.597067e-01 7.501679e-01 3.239860e+01 2.598083e-01 1.297405e+01 9.330115e-01 7.072870e+00 1.878787e+00 -1.859177e+00 -7.875253e+00 -1.167724e+01 2.594067e+01 -4.371757e-02 1.093996e-03 6.224763e-02 2.575318e+00 1.327400e+00 5.968466e-01 5.848491e-01 1.483515e-01 1.837482e-01 -3.886520e+01
