file F0semitoneFrom27.5Hz_sma3nz_amean F0semitoneFrom27.5Hz_sma3nz_stddevNorm F0semitoneFrom27.5Hz_sma3nz_percentile20.0 F0semitoneFrom27.5Hz_sma3nz_percentile50.0 F0semitoneFrom27.5Hz_sma3nz_percentile80.0 F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope loudness_sma3_amean loudness_sma3_stddevNorm loudness_sma3_percentile20.0 loudness_sma3_percentile50.0 loudness_sma3_percentile80.0 loudness_sma3_pctlrange0-2 loudness_sma3_meanRisingSlope loudness_sma3_stddevRisingSlope loudness_sma3_meanFallingSlope loudness_sma3_stddevFallingSlope spectralFlux_sma3_amean spectralFlux_sma3_stddevNorm mfcc1_sma3_amean mfcc1_sma3_stddevNorm mfcc2_sma3_amean mfcc2_sma3_stddevNorm mfcc3_sma3_amean mfcc3_sma3_stddevNorm mfcc4_sma3_amean mfcc4_sma3_stddevNorm jitterLocal_sma3nz_amean jitterLocal_sma3nz_stddevNorm shimmerLocaldB_sma3nz_amean shimmerLocaldB_sma3nz_stddevNorm HNRdBACF_sma3nz_amean HNRdBACF_sma3nz_stddevNorm logRelF0-H1-H2_sma3nz_amean logRelF0-H1-H2_sma3nz_stddevNorm logRelF0-H1-A3_sma3nz_amean logRelF0-H1-A3_sma3nz_stddevNorm F1frequency_sma3nz_amean F1frequency_sma3nz_stddevNorm F1bandwidth_sma3nz_amean F1bandwidth_sma3nz_stddevNorm F1amplitudeLogRelF0_sma3nz_amean F1amplitudeLogRelF0_sma3nz_stddevNorm F2frequency_sma3nz_amean F2frequency_sma3nz_stddevNorm F2bandwidth_sma3nz_amean F2bandwidth_sma3nz_stddevNorm F2amplitudeLogRelF0_sma3nz_amean F2amplitudeLogRelF0_sma3nz_stddevNorm F3frequency_sma3nz_amean F3frequency_sma3nz_stddevNorm F3bandwidth_sma3nz_amean F3bandwidth_sma3nz_stddevNorm F3amplitudeLogRelF0_sma3nz_amean F3amplitudeLogRelF0_sma3nz_stddevNorm alphaRatioV_sma3nz_amean alphaRatioV_sma3nz_stddevNorm hammarbergIndexV_sma3nz_amean hammarbergIndexV_sma3nz_stddevNorm slopeV0-500_sma3nz_amean slopeV0-500_sma3nz_stddevNorm slopeV500-1500_sma3nz_amean slopeV500-1500_sma3nz_stddevNorm spectralFluxV_sma3nz_amean spectralFluxV_sma3nz_stddevNorm mfcc1V_sma3nz_amean mfcc1V_sma3nz_stddevNorm mfcc2V_sma3nz_amean mfcc2V_sma3nz_stddevNorm mfcc3V_sma3nz_amean mfcc3V_sma3nz_stddevNorm mfcc4V_sma3nz_amean mfcc4V_sma3nz_stddevNorm alphaRatioUV_sma3nz_amean hammarbergIndexUV_sma3nz_amean slopeUV0-500_sma3nz_amean slopeUV500-1500_sma3nz_amean spectralFluxUV_sma3nz_amean loudnessPeaksPerSec VoicedSegmentsPerSec MeanVoicedSegmentLengthSec StddevVoicedSegmentLengthSec MeanUnvoicedSegmentLength StddevUnvoicedSegmentLength equivalentSoundLevel_dBp
01_CF56_1.wav 2.694097e+01 1.545519e-01 2.496088e+01 2.724651e+01 2.942463e+01 4.463745e+00 2.164609e+02 2.121650e+02 8.712165e+01 1.346576e+02 6.252474e-01 6.815025e-01 2.323654e-01 5.314602e-01 9.583545e-01 7.259891e-01 8.969924e+00 5.414205e+00 5.455740e+00 3.718920e+00 2.998219e-01 8.098030e-01 1.842081e+01 7.670490e-01 1.370486e+01 7.080514e-01 5.851395e+00 1.823905e+00 3.121624e-01 3.575902e+01 4.259105e-02 2.281363e+00 1.064876e+00 8.152830e-01 5.123076e+00 7.845306e-01 2.704880e+00 2.265688e+00 2.529312e+01 2.994303e-01 5.136132e+02 2.721150e-01 1.303393e+03 1.688898e-01 -8.159274e+01 -1.126959e+00 1.557746e+03 1.803082e-01 1.018645e+03 4.767292e-01 -9.032690e+01 -9.369196e-01 2.593071e+03 9.601917e-02 8.374343e+02 4.965119e-01 -9.361163e+01 -8.736805e-01 -1.613324e+01 -3.410278e-01 2.400009e+01 2.976679e-01 1.238735e-03 2.851607e+01 -3.154999e-02 -3.897736e-01 4.015036e-01 6.086995e-01 2.691060e+01 3.613660e-01 1.693934e+01 5.307814e-01 6.544296e+00 1.892669e+00 -4.115862e+00 -2.633061e+00 -1.028090e+01 1.883570e+01 -4.812941e-02 -6.666836e-03 1.360832e-01 2.595204e+00 1.891320e+00 3.172388e-01 2.890292e-01 2.061290e-01 2.459928e-01 -2.999010e+01
02_CM57_2.wav 2.154352e+01 2.933908e-01 1.783100e+01 2.087716e+01 2.395684e+01 6.125843e+00 2.624106e+02 6.470594e+02 6.284438e+01 7.903565e+01 7.400333e-01 6.342162e-01 2.913533e-01 6.490241e-01 1.129425e+00 8.380722e-01 1.031439e+01 5.895190e+00 8.226117e+00 5.768625e+00 4.052294e-01 7.243723e-01 1.687527e+01 8.777094e-01 1.160332e+01 8.943841e-01 1.524717e+01 8.699439e-01 3.295028e+00 3.694492e+00 3.128077e-02 1.317910e+00 1.055021e+00 8.217311e-01 2.538674e+00 1.432314e+00 1.182848e+00 1.097531e+01 1.753679e+01 8.626384e-01 4.805453e+02 4.110275e-01 1.184460e+03 1.963231e-01 -7.062544e+01 -1.245754e+00 1.510010e+03 1.801507e-01 8.565477e+02 3.933268e-01 -7.997063e+01 -1.012701e+00 2.493827e+03 1.182756e-01 7.377558e+02 3.670320e-01 -7.902576e+01 -1.021238e+00 -1.525075e+01 -5.367171e-01 2.157419e+01 4.536676e-01 -1.428134e-02 -2.898449e+00 -2.146769e-02 -6.290361e-01 5.165929e-01 5.191070e-01 2.341300e+01 5.220952e-01 1.299037e+01 8.254450e-01 1.779758e+01 8.230469e-01 1.792913e+00 7.667389e+00 -8.365252e+00 1.733586e+01 -4.925045e-02 -2.979997e-03 1.679375e-01 3.563074e+00 1.675072e+00 3.978495e-01 4.360276e-01 1.950588e-01 3.121071e-01 -2.860659e+01
03_CF30_3.wav 3.393198e+01 8.492479e-02 3.250506e+01 3.403991e+01 3.556714e+01 3.062080e+00 1.259328e+02 1.141731e+02 3.123877e+01 4.480505e+01 7.755610e-01 7.168464e-01 2.753327e-01 6.478936e-01 1.176135e+00 9.008023e-01 1.276847e+01 7.596287e+00 1.116167e+01 6.897887e+00 4.098275e-01 8.933344e-01 1.587594e+01 8.421846e-01 9.086278e+00 1.154402e+00 5.836689e+00 2.364231e+00 -3.135068e+00 -4.063519e+00 2.349581e-02 2.482285e+00 1.046069e+00 8.440188e-01 7.878970e+00 4.814540e-01 2.849392e+00 3.045719e+00 1.800333e+01 5.359921e-01 5.114561e+02 3.150222e-01 1.220288e+03 1.775790e-01 -7.648198e+01 -1.163590e+00 1.600594e+03 1.696902e-01 9.289896e+02 5.715485e-01 -8.188451e+01 -9.922882e-01 2.617979e+03 1.052992e-01 9.398318e+02 6.225773e-01 -8.314074e+01 -9.650257e-01 -1.353728e+01 -4.499756e-01 2.148468e+01 4.061309e-01 1.382611e-03 2.833449e+01 -2.695710e-02 -4.576955e-01 5.196596e-01 7.483927e-01 2.245205e+01 4.455174e-01 9.029187e+00 1.223921e+00 5.781035e+00 2.753948e+00 -7.296391e+00 -1.786121e+00 -9.925115e+00 1.920013e+01 -5.404252e-02 -7.136991e-03 1.957028e-01 3.565132e+00 2.450980e+00 2.602400e-01 2.367765e-01 1.436364e-01 2.251211e-01 -2.829206e+01
04_CF57_3.wav 3.130253e+01 9.040849e-02 2.921784e+01 3.159786e+01 3.334995e+01 4.132111e+00 1.628096e+02 3.127903e+02 2.946116e+01 4.839479e+01 8.947680e-01 7.910097e-01 3.279544e-01 7.062783e-01 1.309927e+00 9.819723e-01 1.543267e+01 9.263946e+00 1.332998e+01 9.564370e+00 4.948125e-01 1.103291e+00 2.005365e+01 8.047941e-01 5.501540e+00 2.453017e+00 4.256916e-01 3.393047e+01 -5.622935e+00 -2.566318e+00 1.930202e-02 1.837668e+00 1.157057e+00 7.426150e-01 6.389678e+00 5.854642e-01 1.636232e+00 4.742687e+00 1.941641e+01 4.720859e-01 4.381254e+02 3.175162e-01 1.182079e+03 1.893741e-01 -5.559721e+01 -1.556243e+00 1.433499e+03 1.543167e-01 8.760943e+02 3.428421e-01 -6.125282e+01 -1.286995e+00 2.412597e+03 1.029112e-01 7.457943e+02 4.066039e-01 -6.385807e+01 -1.209527e+00 -1.214116e+01 -5.179308e-01 2.003181e+01 4.104851e-01 2.995441e-02 1.248620e+00 -2.651566e-02 -4.671879e-01 6.047949e-01 9.566326e-01 2.669686e+01 4.054094e-01 4.137275e+00 3.258656e+00 -1.339065e-01 -1.158266e+02 -9.171827e+00 -1.532607e+00 -5.668727e+00 1.367580e+01 -2.937551e-02 -7.919589e-03 1.740521e-01 3.873646e+00 1.777470e+00 4.093507e-01 3.995625e-01 1.472464e-01 1.806260e-01 -2.569854e+01
05_CF41_3.wav 3.269355e+01 1.486116e-01 2.994035e+01 3.275256e+01 3.585490e+01 5.914551e+00 3.042639e+02 5.408874e+02 2.696138e+02 8.469609e+02 7.906563e-01 6.450681e-01 3.183967e-01 6.984289e-01 1.218173e+00 8.997764e-01 1.366118e+01 7.204181e+00 1.135310e+01 7.527269e+00 6.811098e-01 1.980262e+00 2.138966e+01 6.810030e-01 1.327281e+01 9.141682e-01 2.509869e+00 5.892047e+00 -1.569474e+01 -1.134599e+00 3.280989e-02 2.097490e+00 1.392256e+00 7.205797e-01 6.386876e+00 6.623181e-01 3.048354e+00 4.759170e+00 2.490126e+01 7.134200e-01 5.097808e+02 3.386871e-01 1.233769e+03 1.793685e-01 -6.031393e+01 -1.431582e+00 1.566841e+03 2.233291e-01 9.537245e+02 4.429174e-01 -6.492916e+01 -1.174666e+00 2.612381e+03 1.170691e-01 7.967418e+02 5.594578e-01 -6.931866e+01 -1.057813e+00 -1.726672e+01 -3.804372e-01 2.642963e+01 3.073752e-01 1.266583e-02 3.544244e+00 -3.356846e-02 -3.930368e-01 7.855169e-01 1.653550e+00 2.684307e+01 3.953600e-01 1.271113e+01 9.400901e-01 1.775573e+00 8.928875e+00 -2.165321e+01 -7.365707e-01 -1.331757e+01 2.235335e+01 -5.299805e-02 -1.068987e-02 3.839896e-01 4.377358e+00 2.343160e+00 3.079570e-01 3.002671e-01 1.189474e-01 1.496362e-01 -2.456076e+01
06_CF44_2.wav 3.111535e+01 1.072739e-01 2.874097e+01 3.084153e+01 3.348901e+01 4.748045e+00 9.300932e+01 1.200769e+02 6.902267e+01 1.655397e+02 7.437332e-01 6.248099e-01 3.570907e-01 6.195694e-01 1.080170e+00 7.230790e-01 1.210039e+01 6.125501e+00 8.424050e+00 5.379035e+00 4.910198e-01 8.085647e-01 2.154735e+01 6.760293e-01 1.082094e+01 9.585874e-01 1.024704e+01 1.394536e+00 -6.262709e+00 -2.107764e+00 2.059475e-02 1.563463e+00 1.111004e+00 7.549730e-01 6.854872e+00 4.810803e-01 1.138660e+00 7.122811e+00 2.196295e+01 3.915214e-01 5.454561e+02 2.742770e-01 1.301406e+03 1.595194e-01 -6.476353e+01 -1.315284e+00 1.653420e+03 1.747735e-01 1.024119e+03 5.373560e-01 -7.434752e+01 -1.035643e+00 2.656882e+03 9.756805e-02 8.920157e+02 5.265710e-01 -7.623668e+01 -9.904521e-01 -1.779386e+01 -3.317553e-01 2.591401e+01 3.169852e-01 -8.918874e-03 -4.412903e+00 -3.343516e-02 -3.716021e-01 5.844418e-01 7.239946e-01 2.832103e+01 3.285065e-01 1.190840e+01 9.077220e-01 1.194998e+01 1.274108e+00 -9.188957e+00 -1.499354e+00 -1.047196e+01 2.010954e+01 -4.993428e-02 -1.151472e-02 2.626016e-01 4.150454e+00 2.228955e+00 3.098058e-01 3.100015e-01 1.253608e-01 1.196736e-01 -2.807338e+01
07_CF50_2.wav 3.317863e+01 1.691653e-01 2.938802e+01 3.273563e+01 3.720206e+01 7.814041e+00 3.204464e+02 6.907061e+02 1.018196e+02 1.525566e+02 1.089196e+00 7.693286e-01 3.718781e-01 8.735943e-01 1.664899e+00 1.293020e+00 2.087458e+01 1.286740e+01 1.372583e+01 9.760900e+00 1.047280e+00 1.690123e+00 1.368342e+01 9.998066e-01 1.420837e+01 8.279822e-01 5.857521e+00 2.541125e+00 -2.405484e+00 -5.850746e+00 2.441856e-02 1.899647e+00 1.141123e+00 7.478165e-01 6.839375e+00 6.164323e-01 7.355413e+00 1.678774e+00 2.060091e+01 6.129835e-01 4.855683e+02 3.453626e-01 1.187897e+03 1.923887e-01 -7.889472e+01 -1.177248e+00 1.562131e+03 1.770002e-01 9.077946e+02 4.924430e-01 -8.139394e+01 -1.006179e+00 2.540425e+03 1.089908e-01 8.366647e+02 5.028684e-01 -8.071049e+01 -1.016867e+00 -1.501274e+01 -5.573358e-01 2.168701e+01 4.541887e-01 4.562674e-05 9.635253e+02 -2.904854e-02 -5.039861e-01 1.167531e+00 1.345085e+00 1.940230e+01 5.447543e-01 1.587863e+01 7.196218e-01 5.913363e+00 2.871425e+00 -6.438006e+00 -2.228538e+00 -1.098393e+01 1.996431e+01 -5.122272e-02 -8.677084e-03 8.078049e-01 3.202012e+00 2.416107e+00 2.647222e-01 2.321068e-01 1.541176e-01 1.543020e-01 -2.126369e+01
08_CF42_2.wav 3.225166e+01 1.248152e-01 3.029951e+01 3.205919e+01 3.483464e+01 4.535133e+00 3.021694e+02 5.613768e+02 5.213342e+01 6.123563e+01 6.130582e-01 5.942060e-01 2.836616e-01 5.363336e-01 8.907437e-01 6.070821e-01 8.800941e+00 5.180063e+00 5.970995e+00 4.130832e+00 3.243039e-01 1.469554e+00 1.559114e+01 7.905510e-01 9.055202e+00 1.103950e+00 1.555330e+00 8.368901e+00 -2.389965e+00 -4.881615e+00 2.160100e-02 2.473644e+00 9.630406e-01 8.382430e-01 6.971238e+00 5.694662e-01 3.589584e+00 3.054295e+00 2.231837e+01 5.172682e-01 5.787992e+02 2.966285e-01 1.307203e+03 1.805966e-01 -8.525864e+01 -1.105247e+00 1.661812e+03 1.625222e-01 9.894287e+02 4.823731e-01 -9.124215e+01 -9.454786e-01 2.675972e+03 1.050972e-01 9.080485e+02 5.072631e-01 -9.285599e+01 -9.122912e-01 -1.433066e+01 -4.770289e-01 2.250980e+01 4.009964e-01 1.597307e-02 2.479174e+00 -3.471489e-02 -3.865213e-01 3.917965e-01 1.093683e+00 2.244608e+01 4.032055e-01 1.134024e+01 8.834574e-01 1.416572e+00 1.107290e+01 -6.747592e+00 -1.800589e+00 -8.120030e+00 1.705556e+01 -4.016299e-02 -8.546292e-03 2.202690e-01 3.111909e+00 2.185956e+00 2.652740e-01 2.194583e-01 1.867910e-01 2.745623e-01 -3.064054e+01
09_CF56_3.wav 3.256497e+01 1.135183e-01 2.956343e+01 3.223459e+01 3.553871e+01 5.975286e+00 1.502622e+02 2.622498e+02 1.026958e+02 2.716855e+02 5.776450e-01 6.498210e-01 2.802676e-01 4.804496e-01 8.250226e-01 5.447551e-01 9.642457e+00 5.758813e+00 7.249013e+00 4.687781e+00 3.106650e-01 8.815085e-01 2.154770e+01 7.004872e-01 1.175360e+01 1.049778e+00 -3.932649e-01 -3.264459e+01 -1.095429e+01 -1.303902e+00 2.233944e-02 1.593282e+00 1.180776e+00 7.780176e-01 7.049696e+00 4.860123e-01 1.484343e+00 5.023028e+00 2.462852e+01 3.209271e-01 5.007810e+02 2.981333e-01 1.256157e+03 1.674955e-01 -5.507542e+01 -1.534402e+00 1.529015e+03 2.100232e-01 9.980078e+02 3.992211e-01 -6.262432e+01 -1.197737e+00 2.595804e+03 1.002547e-01 7.935190e+02 5.185558e-01 -6.703635e+01 -1.076207e+00 -1.706710e+01 -3.957740e-01 2.614172e+01 2.932743e-01 1.169784e-02 3.092358e+00 -3.385013e-02 -4.264194e-01 3.694700e-01 7.792215e-01 2.728195e+01 4.064149e-01 1.185387e+01 1.030375e+00 -4.861332e-01 -2.800058e+01 -1.516853e+01 -8.530138e-01 -1.136322e+01 2.131026e+01 -4.320629e-02 -7.812748e-03 1.299174e-01 4.160548e+00 2.082823e+00 3.536470e-01 3.283930e-01 1.190667e-01 1.157373e-01 -3.167412e+01
10_CF51_2.wav 3.123001e+01 1.349632e-01 2.825459e+01 3.116265e+01 3.438313e+01 6.128538e+00 8.525800e+01 2.004305e+02 4.602512e+01 8.193920e+01 1.101924e+00 6.357375e-01 5.011942e-01 9.557256e-01 1.645037e+00 1.143843e+00 1.691304e+01 9.292633e+00 1.196358e+01 7.364845e+00 5.876130e-01 9.664918e-01 1.677891e+01 9.286699e-01 9.314796e+00 1.106080e+00 9.529004e+00 1.283088e+00 -7.332091e+00 -1.947274e+00 2.074995e-02 1.777529e+00 9.980147e-01 8.033321e-01 6.781362e+00 5.609052e-01 2.441325e+00 3.526031e+00 1.845897e+01 5.325225e-01 4.531725e+02 3.173955e-01 1.141733e+03 2.058352e-01 -5.812460e+01 -1.453302e+00 1.495888e+03 1.756935e-01 8.092587e+02 4.626410e-01 -6.647444e+01 -1.135909e+00 2.500776e+03 9.370341e-02 7.005529e+02 5.246726e-01 -6.649573e+01 -1.131122e+00 -1.353930e+01 -4.838568e-01 1.929990e+01 4.101592e-01 1.914391e-02 1.965612e+00 -3.067753e-02 -3.820602e-01 6.743701e-01 7.540312e-01 2.305434e+01 4.780779e-01 9.384194e+00 1.105601e+00 1.103595e+01 1.122582e+00 -1.066365e+01 -1.344953e+00 -6.039018e+00 1.395868e+01 -3.827981e-02 -9.924836e-03 3.394140e-01 3.836094e+00 2.051058e+00 3.530851e-01 3.356037e-01 1.255294e-01 1.302622e-01 -2.478827e+01
